HUMAN_TRANSCRIPTION,SYSTEM_TRANSCRIPTION,CENTURY,ImageID,TEXT_LINE_NUM
ἐγγινομένα πάθη μὴ σβεννύντες ἀλλὰ τῆ εκλύσει,ἐγγενομεναπαδημησμεννωτες ἀλλατῆε κλησει,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,1
τοῦ βίου τοῦ καθ ΄ εαυτοὺς πολλὰ γίνεσθαι συγχωροῦν,του β ου του καλεαυτοὺς πολλαγινεσθαι συγχωρ όν,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,2
τες ἐμπυρίζουσι τὸν ἀμπελῶνα ἀλλὰ καὶ ὁ διὰ,τες εμπυριζου σιμαμπελῶνα ἀλλακαι ὅδξα,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,3
τῆς ἡδεῖας πλεονεξίας πολλοὺς εἰς τὴν τῶν ἀλλ,της ἐδίας πλσον ἐξιας πολλους ἐις τὴν τῶν ἀλ,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,4
οτρίων ἐπιθυμίαν προκαλούμενος ἐμπυρί,λοτρλων ἐπιθυμιαν προκαλουμένος ἐμπυρι,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,5
ζει τὸν ἀμπελῶνα επισυνάπτει γοῦν τό καὶ ἡ ἀρπα,λει τον αμπέλῶνα συναπτειγὰρ τοκαι καρπα,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,6
γὴ τοῦ πτωχοῦ ἐν τοῖς οἴκοις ὑμῶν ὥστε καὶ ἄ,"γη του πτωχουεντοις οικοιςχμῶν, ωστεκακα",11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,7
δικον κτῆσιν και ἀπὸ ἀρπαγῆς καὶ βίας συλλεγόντες,ικον κτῆσιν αποαρπαγης καιβωας συγεγοντεσ,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,8
αἰτίαν τοῦ ἐμπρησμοῦ τῶ ἀμπελῶνι παρέχουσιν,αιτιαν του εμπρησμου τω αμπελωνιπαρεχησι,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,9
ἐκ τοῦ πονηροῦ ὑποδείγματος τοῦ κατὰ τοὺς προ,εκ τοῦ πον ηρουχυποδειχματος τοῦ κατατοὺς προ,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,10
εστῶτας καὶ τοῦ λαοῦ παντὸς εἰς τὴν κατ ΄ ἀλλή,ετώτας καὶ του λαουπαντος εις την καταλλης,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,11
λων πλεονεξίαν παιδοτριβομένου πρεσβύ,λῶν πλονξιαν παιδοτριβομενου πρεσυν,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,12
